,State,City,CityFIPS
0,California,Menifee,646842.0
1,California,San Buenaventura (Ventura),665042.0
2,Florida,Sunrise,1269700.0
3,Kansas,Olathe,2052575.0
4,Michigan,Wyoming,2688940.0
5,New Jersey,Elizabeth,3421000.0
6,New Jersey,Jersey City,3436000.0
7,New Mexico,Santa Fe,3570500.0
8,New York,Albany,3601000.0
9,New York,Buffalo,3611000.0
10,New York,Rochester,3663000.0
11,New York,Yonkers,3684000.0
13,Washington,Tacoma,5370000.0
14,Washington,Vancouver,5374060.0
