,StateDesc,CityName,PopulationCount,GeoLocation,CityFIPS
330997,Illinois,Schaumburg,74227,"(42.0305488755, -88.0838663543)",1768003.0
331778,Illinois,Springfield,116250,"(39.7716473322, -89.6540780049)",1772000.0
333070,Illinois,Waukegan,89078,"(42.3702955582, -87.8712595095)",1779293.0
333854,Indiana,Bloomington,80405,"(39.1637458221, -86.5257124351)",1805860.0
334520,Indiana,Carmel,79191,"(39.9658404613, -86.1461278461)",1810342.0
334995,Indiana,Evansville,117429,"(37.9867158026, -87.538270731)",1822000.0
336274,Indiana,Fishers,76794,"(39.9587635263, -85.969310702)",1823278.0
336582,Indiana,Fort Wayne,253691,"(41.0884920417, -85.1435898792)",1825000.0
338865,Indiana,Gary,80294,"(41.5904779239, -87.3472907397)",1827000.0
339798,Indiana,Hammond,80830,"(41.6171442828, -87.4909551115)",1831000.0
340385,Indiana,Indianapolis,820445,"(39.7771221075, -86.145782152)",1836003.0
346348,Indiana,Lafayette,67140,"(40.3994285285, -86.8617007404)",1840788.0
347046,Indiana,Muncie,70085,"(40.1987098324, -85.3942940148)",1851876.0
347822,Indiana,South Bend,101168,"(41.6769914549, -86.2690372417)",1871000.0
349132,Iowa,Cedar Rapids,126326,"(41.966729258, -91.6781679349)",1912000.0
350243,Iowa,Davenport,99685,"(41.5557926876, -90.6051730163)",1919000.0
351245,Iowa,Des Moines,203433,"(41.5741349525, -93.6165066086)",1921000.0
352977,Iowa,Iowa City,67862,"(41.6558950332, -91.5308854927)",1938595.0
353509,Iowa,Sioux City,82684,"(42.4963149039, -96.3913834837)",1973335.0
354208,Iowa,Waterloo,68406,"(42.4919736932, -92.3521759342)",1982425.0
355020,Kansas,Kansas City,145786,"(39.1234621409, -94.7441921112)",2036000.0
356830,Kansas,Lawrence,87643,"(38.9599302924, -95.2628259088)",2038900.0
357390,Kansas,Olathe,125872,"(38.884693021, -94.8192070197)",2052575.0
358230,Kansas,Overland Park,173372,"(38.8872922575, -94.6872267067)",2053775.0
359659,Kansas,Topeka,127473,"(39.0359549911, -95.6954155341)",2071000.0
360806,Kansas,Wichita,382368,"(37.690561478, -97.3429366807)",2079000.0
363933,Kentucky,Lexington,295803,"(38.0423254022, -84.4587259608)",2146027.0
366284,Kentucky,Louisville,597337,"(38.1777689918, -85.6664099974)",2148006.0
371460,Louisiana,Baton Rouge,229493,"(30.4510891679, -91.1263551997)",2205000.0
373349,Louisiana,Kenner,66702,"(30.0106937201, -90.2550320135)",2239475.0
373948,Louisiana,Lafayette,120623,"(30.2120582815, -92.0317532321)",2240735.0
374956,Louisiana,Lake Charles,71993,"(30.2030679966, -93.2148796496)",2241155.0
375628,Louisiana,New Orleans,343829,"(30.0687009935, -89.9316317895)",2255000.0
380578,Louisiana,Shreveport,199311,"(32.4671618864, -93.7962236108)",2270000.0
382336,Maine,Portland,66194,"(43.6779836271, -70.2752544531)",2360545.0
382951,Maryland,Baltimore,620961,"(39.3084523991, -76.6160492311)",2404000.0
388606,Massachusetts,Boston,617594,"(42.3155796777, -71.0916505804)",2507000.0
393583,Massachusetts,Brockton,93810,"(42.082071372, -71.0241656338)",2509000.0
394221,Massachusetts,Cambridge,105162,"(42.3758188051, -71.1183992378)",2511000.0
395174,Massachusetts,Fall River,88857,"(41.7139907598, -71.0996396919)",2523000.0
395929,Massachusetts,Lawrence,76377,"(42.7002772201, -71.1626790341)",2534550.0
396489,Massachusetts,Lowell,106519,"(42.6388727331, -71.321714396)",2537000.0
397245,Massachusetts,Lynn,90329,"(42.4783322881, -70.9662372538)",2537490.0
397917,Massachusetts,New Bedford,95072,"(41.6712667258, -70.9441204537)",2545000.0
398842,Massachusetts,Newton,85146,"(42.3316567616, -71.2084466944)",2545560.0
399401,Massachusetts,Quincy,92271,"(42.2492981918, -71.0218764062)",2555745.0
400017,Massachusetts,Somerville,75754,"(42.3905738858, -71.1017450879)",2562535.0
400577,Massachusetts,Springfield,153060,"(42.1154977999, -72.5395254143)",2567000.0
401670,Massachusetts,Worcester,181045,"(42.2705425446, -71.8079404584)",2582000.0
402953,Michigan,Ann Arbor,113934,"(42.2756833567, -83.7311374448)",2603000.0
404006,Michigan,Dearborn,98153,"(42.3126884626, -83.2129368006)",2621000.0
404734,Michigan,Detroit,713777,"(42.3847015631, -83.1053178776)",2622000.0
413069,Michigan,Farmington Hills,79740,"(42.4859956992, -83.3771159714)",2627440.0
413769,Michigan,Flint,102434,"(43.0236339386, -83.6920640313)",2629000.0
414724,Michigan,Troy,80980,"(42.5817340358, -83.1457545154)",2680700.0
414946,Michigan,Grand Rapids,188040,"(42.9614815414, -85.6556858473)",2634000.0
416459,Michigan,Kalamazoo,74262,"(42.2748756474, -85.588188576)",2642160.0
417150,Michigan,Lansing,114297,"(42.7090711751, -84.5584470022)",2646000.0
418454,Michigan,Livonia,96942,"(42.3971592737, -83.3733073683)",2649000.0
419378,Michigan,Rochester Hills,70995,"(42.6645256768, -83.1563037157)",2669035.0
419994,Michigan,Southfield,71739,"(42.4765016267, -83.2605284738)",2674900.0
420694,Michigan,Sterling Heights,129699,"(42.580985283, -83.0303680858)",2676460.0
422174,Michigan,Warren,134056,"(42.4934233034, -83.0270075248)",2684000.0
423427,Michigan,Westland,84094,"(42.3192220455, -83.3805461719)",2686000.0
424127,Michigan,Wyoming,72125,"(42.8909745661, -85.7067229249)",2688940.0
424624,Minnesota,Bloomington,82893,"(44.8305852429, -93.3150995817)",2706616.0
425268,Minnesota,Brooklyn Park,75781,"(45.1112033916, -93.3505067942)",2707966.0
425688,Minnesota,Duluth,86265,"(46.7854703427, -92.1342013763)",2717000.0
426751,Minnesota,Minneapolis,382578,"(44.9635407967, -93.2678345304)",2743000.0
429960,Minnesota,Plymouth,70576,"(45.022462874, -93.4616016242)",2751730.0
430026,Minnesota,Rochester,106769,"(44.0150574384, -92.4775005494)",2754880.0
431423,Minnesota,St. Paul,285068,"(44.9477402558, -93.1039958305)",2758000.0
433747,Mississippi,Gulfport,67793,"(30.427377008, -89.0701908439)",2829700.0
434414,Mississippi,Jackson,173514,"(32.31627222, -90.2124528561)",2836000.0
435976,Missouri,Columbia,108500,"(38.9481109651, -92.3260129764)",2915670.0
436704,Missouri,Independence,116830,"(39.0870794771, -94.3502748237)",2935000.0
437618,Missouri,Kansas City,459787,"(39.1239413971, -94.5541236795)",2938000.0
442339,Missouri,Lee's Summit,91364,"(38.9170508128, -94.3814865856)",2941348.0
443030,Missouri,O'Fallon,79329,"(38.7852244161, -90.7176856736)",2954074.0
443694,Missouri,St. Joseph,76780,"(39.7598312179, -94.8209246813)",2964550.0
444422,Missouri,St. Louis,319294,"(38.6358122615, -90.2451186799)",2965000.0
