,StateDesc,CityName,PopulationCount,GeoLocation,CityFIPS
786203,Washington,Renton,90927,"(47.4760546752, -122.191153327)",5357745.0
786986,Washington,Seattle,608660,"(47.622154338, -122.323532482)",5363000.0
790794,Washington,Spokane,208916,"(47.6736243259, -117.415973291)",5367000.0
792528,Washington,Spokane Valley,89755,"(47.662556574, -117.234571922)",5367167.0
793284,Washington,Tacoma,198397,"(47.2425411445, -122.45447391)",5370000.0
794849,Washington,Vancouver,161791,"(45.6357172365, -122.598539476)",5374060.0
796353,Washington,Yakima,91067,"(46.5925792092, -120.547807614)",5380010.0
797022,West Virginia,Charleston,51400,"(38.3484079736, -81.632165003)",5414600.0
797750,Wisconsin,Appleton,72623,"(44.2776987457, -88.3897664444)",5502375.0
798505,Wisconsin,Green Bay,104057,"(44.5149847816, -87.9896195955)",5531000.0
799401,Wisconsin,Kenosha,99218,"(42.585570271, -87.8735745085)",5539225.0
800239,Wisconsin,Madison,233209,"(43.0809865694, -89.3915106344)",5548000.0
802188,Wisconsin,Milwaukee,594833,"(43.0641258925, -87.9672412429)",5553000.0
808235,Wisconsin,Racine,78860,"(42.7274599494, -87.813453024)",5566000.0
808959,Wisconsin,Waukesha,70718,"(43.0093332215, -88.2457679157)",5584250.0
809599,Wyoming,Cheyenne,59466,"(41.1460804265, -104.789064332)",5613900.0
