,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State,City,CityFIPS
580949,53.0,-16.0,78.0,31.0,99.0,Ohio,Cincinnati,3915000.0
584303,52.0,-10.0,76.0,35.0,97.0,Ohio,Cleveland,3916000.0
589284,53.0,-10.0,78.0,32.0,101.0,Ohio,Columbus,3918000.0
595932,52.0,-12.0,77.0,30.0,99.0,Ohio,Dayton,3921000.0
597766,51.0,-12.0,76.0,31.0,98.0,Ohio,Parma,3961000.0
598438,50.0,-13.0,75.0,29.0,100.0,Ohio,Toledo,3977000.0
601266,49.0,-13.0,75.0,27.0,98.0,Ohio,Youngstown,3988000.0
602218,60.0,-13.0,85.0,37.0,111.0,Oklahoma,Broken Arrow,4009050.0
603389,61.0,-16.0,86.0,37.0,111.0,Oklahoma,Edmond,4023200.0
604060,62.0,-2.0,87.0,39.0,109.0,Oklahoma,Lawton,4041850.0
604899,61.0,0.0,85.0,38.0,109.0,Oklahoma,Norman,4052500.0
605791,60.0,-6.0,86.0,38.0,113.0,Oklahoma,Oklahoma City,4055000.0
611954,61.0,-11.0,86.0,37.0,112.0,Oklahoma,Tulsa,4075000.0
615750,54.0,7.0,76.0,34.0,106.0,Oregon,Beaverton,4105350.0
616637,54.0,-10.0,77.0,32.0,105.0,Oregon,Bend,4105800.0
617029,54.0,-10.0,77.0,34.0,106.0,Oregon,Eugene,4123850.0
618313,56.0,15.0,76.0,38.0,105.0,Oregon,Gresham,4131250.0
619069,54.0,7.0,76.0,34.0,106.0,Oregon,Hillsboro,4134100.0
619793,58.0,3.0,83.0,36.0,112.0,Oregon,Medford,4147000.0
620461,56.0,12.0,77.0,39.0,106.0,Oregon,Portland,4159000.0
624983,56.0,8.0,78.0,36.0,108.0,Oregon,Salem,4164900.0
626152,52.0,-4.0,77.0,30.0,104.0,Pennsylvania,Allentown,4202000.0
626937,52.0,-4.0,77.0,30.0,104.0,Pennsylvania,Bethlehem,4206088.0
627496,50.0,-18.0,75.0,30.0,96.0,Pennsylvania,Erie,4224000.0
628392,55.0,2.0,79.0,36.0,105.0,Pennsylvania,Philadelphia,4260000.0
639138,52.0,-8.0,76.0,31.0,95.0,Pennsylvania,Pittsburgh,4261000.0
642925,53.0,-1.0,77.0,33.0,106.0,Pennsylvania,Reading,4263624.0
643733,50.0,-8.0,75.0,28.0,98.0,Pennsylvania,Scranton,4269000.0
644545,51.0,-5.0,75.0,32.0,101.0,Rhode Island,Cranston,4419180.0
645076,49.0,-8.0,74.0,28.0,97.0,Rhode Island,Pawtucket,4454640.0
645720,51.0,-5.0,75.0,32.0,101.0,Rhode Island,Providence,4459000.0
646869,51.0,-5.0,75.0,32.0,101.0,Rhode Island,Warwick,4474300.0
647537,65.0,16.0,86.0,46.0,99.0,South Carolina,Charleston,4513330.0
648826,63.0,16.0,86.0,45.0,106.0,South Carolina,Columbia,4516000.0
650709,65.0,16.0,86.0,46.0,99.0,South Carolina,Mount Pleasant,4548535.0
651134,65.0,16.0,86.0,46.0,99.0,South Carolina,North Charleston,4550875.0
652002,59.0,6.0,82.0,39.0,103.0,South Carolina,Rock Hill,4561405.0
652670,47.0,-18.0,77.0,22.0,104.0,South Dakota,Rapid City,4652980.0
653283,46.0,-30.0,73.0,20.0,101.0,South Dakota,Sioux Falls,4659020.0
654428,61.0,5.0,83.0,41.0,107.0,Tennessee,Chattanooga,4714000.0
656063,58.0,-9.0,81.0,36.0,105.0,Tennessee,Clarksville,4715160.0
657096,59.0,2.0,81.0,38.0,105.0,Tennessee,Knoxville,4740000.0
659414,63.0,9.0,84.0,42.0,104.0,Tennessee,Memphis,4748000.0
664528,58.0,3.0,83.0,35.0,112.0,Tennessee,Murfreesboro,4751560.0
665307,60.0,4.0,83.0,37.0,107.0,Tennessee,Nashville,4752006.0
669731,65.0,,,,,,,
670842,64.0,8.0,86.0,42.0,106.0,Texas,Allen,4801924.0
671206,57.0,-6.0,87.0,33.0,107.0,Texas,Amarillo,4803000.0
672802,66.0,12.0,88.0,44.0,108.0,Texas,Arlington,4804000.0
674902,67.0,10.0,90.0,44.0,110.0,Texas,Austin,4805000.0
680672,70.0,21.0,88.0,53.0,104.0,Texas,Baytown,4806128.0
681279,68.0,18.0,87.0,49.0,103.0,Texas,Beaumont,4807000.0
682284,73.0,28.0,91.0,55.0,105.0,Texas,Brownsville,4810768.0
683759,67.0,16.0,88.0,45.0,112.0,Texas,Bryan,4810912.0
684263,67.0,12.0,87.0,47.0,106.0,Texas,Carrollton,4813024.0
685292,68.0,18.0,87.0,47.0,105.0,Texas,College Station,4815976.0
686072,71.0,24.0,91.0,52.0,107.0,Texas,Corpus Christi,4817000.0
688226,67.0,12.0,88.0,45.0,108.0,Texas,Dallas,4819000.0
697183,64.0,7.0,87.0,41.0,108.0,Texas,Denton,4819972.0
698094,75.0,25.0,95.0,54.0,108.0,Texas,Edinburg,4822660.0
698514,68.0,1.0,89.0,45.0,109.0,Texas,El Paso,4824000.0
702361,68.0,12.0,89.0,46.0,111.0,Texas,Fort Worth,4827000.0
707107,67.0,12.0,87.0,47.0,106.0,Texas,Frisco,4827684.0
708110,67.0,12.0,87.0,47.0,106.0,Texas,Garland,4829000.0
709629,67.0,16.0,88.0,47.0,109.0,Texas,Grand Prairie,4830464.0
710825,69.0,21.0,89.0,50.0,105.0,Texas,Houston,4835000.0
727613,67.0,12.0,89.0,45.0,109.0,Texas,Irving,4837000.0
729146,67.0,12.0,89.0,45.0,110.0,Texas,Killeen,4839148.0
730007,77.0,23.0,99.0,52.0,111.0,Texas,Laredo,4841464.0
731710,70.0,21.0,87.0,51.0,103.0,Texas,League City,4841980.0
732156,67.0,12.0,87.0,47.0,106.0,Texas,Lewisville,4842508.0
733108,65.0,0.0,87.0,44.0,108.0,Texas,Longview,4843888.0
733775,61.0,1.0,89.0,36.0,112.0,Texas,Lubbock,4845000.0
735511,75.0,27.0,95.0,56.0,109.0,Texas,McAllen,4845384.0
736319,64.0,8.0,86.0,42.0,106.0,Texas,McKinney,4845744.0
737202,65.0,9.0,86.0,44.0,106.0,Texas,Mesquite,4847892.0
738208,68.0,9.0,91.0,44.0,111.0,Texas,Midland,4848072.0
738987,75.0,27.0,95.0,56.0,109.0,Texas,Mission,4848768.0
739469,69.0,1.0,88.0,49.0,104.0,Texas,Missouri City,4848804.0
740043,65.0,6.0,89.0,42.0,110.0,Texas,Odessa,4853388.0
740771,70.0,21.0,88.0,53.0,104.0,Texas,Pasadena,4856000.0
741829,70.0,21.0,87.0,51.0,103.0,Texas,Pearland,4856348.0
742305,75.0,27.0,95.0,56.0,109.0,Texas,Pharr,4857200.0
742613,67.0,12.0,87.0,47.0,106.0,Texas,Plano,4858016.0
744292,67.0,12.0,87.0,47.0,106.0,Texas,Richardson,4861796.0
745048,67.0,10.0,88.0,44.0,109.0,Texas,Round Rock,4863500.0
745801,66.0,10.0,92.0,41.0,110.0,Texas,San Angelo,4864472.0
746497,69.0,16.0,90.0,48.0,106.0,Texas,San Antonio,4865000.0
755642,69.0,1.0,88.0,49.0,104.0,Texas,Sugar Land,4870808.0
756255,66.0,13.0,87.0,45.0,109.0,Texas,Tyler,4874144.0
757089,67.0,1.0,89.0,43.0,114.0,Texas,Waco,4876000.0
758226,63.0,3.0,90.0,40.0,112.0,Texas,Wichita Falls,4879000.0
759149,52.0,-7.0,74.0,31.0,99.0,Utah,Layton,4943660.0
759736,52.0,-7.0,75.0,31.0,101.0,Utah,Ogden,4955980.0
760543,52.0,-8.0,75.0,29.0,100.0,Utah,Orem,4957300.0
761266,52.0,-8.0,75.0,29.0,100.0,Utah,Provo,4962470.0
762149,65.0,-3.0,86.0,41.0,113.0,Utah,St. George,4965330.0
762597,55.0,-5.0,79.0,33.0,104.0,Utah,Salt Lake City,4967000.0
764239,55.0,-5.0,79.0,33.0,104.0,Utah,Sandy,4967440.0
765103,55.0,-5.0,79.0,33.0,104.0,Utah,West Jordan,4982950.0
765775,55.0,-5.0,79.0,33.0,104.0,Utah,West Valley City,4983470.0
766580,47.0,-19.0,73.0,24.0,97.0,Vermont,Burlington,5010675.0
766944,58.0,5.0,81.0,41.0,105.0,Virginia,Alexandria,5101000.0
768064,58.0,-6.0,82.0,37.0,100.0,Virginia,Chesapeake,5116000.0
769268,59.0,5.0,81.0,40.0,99.0,Virginia,Hampton,5135000.0
770248,55.0,-11.0,79.0,34.0,101.0,Virginia,Lynchburg,5147672.0
770836,59.0,5.0,82.0,39.0,101.0,Virginia,Newport News,5156000.0
772125,61.0,11.0,83.0,44.0,104.0,Virginia,Norfolk,5157000.0
774387,61.0,11.0,83.0,44.0,104.0,Virginia,Portsmouth,5164000.0
775306,58.0,-2.0,83.0,38.0,104.0,Virginia,Richmond,5167000.0
777210,57.0,0.0,80.0,36.0,102.0,Virginia,Roanoke,5168000.0
777910,58.0,-5.0,82.0,38.0,102.0,Virginia,Suffolk,5176432.0
778750,60.0,5.0,82.0,40.0,101.0,Virginia,Virginia Beach,5182000.0
781577,55.0,14.0,73.0,38.0,106.0,Washington,Auburn,5303180.0
782189,55.0,14.0,73.0,39.0,105.0,Washington,Bellevue,5305210.0
783075,52.0,10.0,69.0,34.0,97.0,Washington,Bellingham,5305280.0
783607,52.0,13.0,69.0,39.0,100.0,Washington,Everett,5322640.0
784444,54.0,14.0,73.0,39.0,103.0,Washington,Federal Way,5323515.0
785055,55.0,-8.0,80.0,30.0,109.0,Washington,Kennewick,5335275.0
785503,55.0,14.0,73.0,38.0,106.0,Washington,Kent,5335415.0
786203,55.0,14.0,73.0,38.0,106.0,Washington,Renton,5357745.0
786986,55.0,14.0,73.0,39.0,105.0,Washington,Seattle,5363000.0
790794,51.0,-2.0,74.0,30.0,107.0,Washington,Spokane,5367000.0
792528,51.0,-2.0,74.0,30.0,107.0,Washington,Spokane Valley,5367167.0
796353,54.0,-10.0,78.0,28.0,108.0,Washington,Yakima,5380010.0
797022,55.0,-4.0,81.0,32.0,101.0,West Virginia,Charleston,5414600.0
797750,45.0,-24.0,68.0,24.0,97.0,Wisconsin,Appleton,5502375.0
798505,45.0,-21.0,69.0,23.0,99.0,Wisconsin,Green Bay,5531000.0
799401,47.0,-21.0,73.0,25.0,106.0,Wisconsin,Kenosha,5539225.0
800239,47.0,-26.0,72.0,24.0,104.0,Wisconsin,Madison,5548000.0
802188,47.0,-24.0,71.0,26.0,102.0,Wisconsin,Milwaukee,5553000.0
808235,48.0,-18.0,71.0,27.0,102.0,Wisconsin,Racine,5566000.0
808959,45.0,-26.0,69.0,24.0,100.0,Wisconsin,Waukesha,5584250.0
809599,46.0,-24.0,74.0,20.0,97.0,Wyoming,Cheyenne,5613900.0
