,State,City,CityFIPS
2,California,Menifee,646842
3,California,San Buenaventura (Ventura),665042
7,Florida,Sunrise,1269700
9,Kansas,Olathe,2052575
11,Michigan,Wyoming,2688940
13,New Jersey,Elizabeth,3421000
14,New Jersey,Jersey City,3436000
15,New Mexico,Santa Fe,3570500
16,New York,Albany,3601000
17,New York,Buffalo,3611000
18,New York,Rochester,3663000
19,New York,Yonkers,3684000
45,Washington,Tacoma,5370000
46,Washington,Vancouver,5374060
