,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State_x,City,CityFIPS,State_y,Place,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
32,58.0,30.0,78.0,45.0,101.0,California,Berkeley,606000.0,06,06000,"Berkeley city, California",114037.0,31.8,63312.0,41308.0,19464.0,17.068144549576015,4.466971246174487
33,66.0,32.0,90.0,51.0,111.0,California,Buena Park,608786.0,06,08786,"Buena Park city, California",81522.0,35.5,66371.0,23623.0,9746.0,11.955055077157086,4.017320477907804
34,66.0,31.0,90.0,49.0,112.0,California,Burbank,608954.0,06,08954,"Burbank city, California",103850.0,38.6,66240.0,33663.0,9710.0,9.350024073182475,5.3220991815117955
35,63.0,32.0,80.0,52.0,103.0,California,Carlsbad,611194.0,06,11194,"Carlsbad city, California",107307.0,41.1,83908.0,43441.0,11358.0,10.584584416673655,4.479670478160791
36,65.0,35.0,88.0,51.0,109.0,California,Carson,611530.0,06,11530,"Carson city, California",91994.0,37.3,72235.0,23762.0,9142.0,9.937604626388678,7.632019479531274
37,65.0,19.0,85.0,44.0,111.0,California,Chico,613014.0,06,13014,"Chico city, California",86833.0,29.3,43372.0,24221.0,19368.0,22.304884087846787,6.328239263874334
38,65.0,23.0,92.0,45.0,115.0,California,Chino,613210.0,06,13210,"Chino city, California",79342.0,34.0,71466.0,23866.0,7134.0,8.99145471503113,5.374202818179526
39,65.0,23.0,92.0,45.0,115.0,California,Chino Hills,613214.0,06,13214,"Chino Hills city, California",75551.0,36.7,96497.0,34955.0,4603.0,6.0925732286799645,5.937710950219057
40,62.0,30.0,84.0,47.0,106.0,California,Chula Vista,613392.0,06,13392,"Chula Vista city, California",248048.0,33.7,64801.0,25104.0,29118.0,11.73885699542024,6.011739663290976
41,63.0,23.0,86.0,42.0,108.0,California,Citrus Heights,613588.0,06,13588,"Citrus Heights city, California",84218.0,37.0,52183.0,25023.0,12322.0,14.631076491961338,7.702628891685863
42,68.0,27.0,90.0,47.0,112.0,California,Clovis,614218.0,06,14218,"Clovis city, California",97100.0,33.9,65260.0,27906.0,12711.0,13.090628218331616,5.543769309989702
43,65.0,35.0,88.0,51.0,109.0,California,Compton,615044.0,06,15044,"Compton city, California",97040.0,27.6,42953.0,13548.0,25343.0,26.11603462489695,7.471145919208574
44,58.0,30.0,78.0,45.0,101.0,California,Concord,616000.0,06,16000,"Concord city, California",123658.0,37.1,65798.0,31359.0,14827.0,11.990328163159683,6.052176163289071
45,63.0,20.0,92.0,38.0,110.0,California,Corona,616350.0,06,16350,"Corona city, California",155227.0,32.6,77123.0,26832.0,16722.0,10.772610435040296,5.933890367010894
46,65.0,35.0,85.0,53.0,107.0,California,Costa Mesa,616532.0,06,16532,"Costa Mesa city, California",110871.0,33.8,65830.0,34100.0,16548.0,14.92545390589063,5.723769064949356
47,58.0,34.0,78.0,47.0,98.0,California,Daly City,617918.0,06,17918,"Daly City city, California",102605.0,38.6,74436.0,28827.0,8777.0,8.554164027094195,5.664441304030018
48,65.0,35.0,88.0,51.0,109.0,California,Downey,619766.0,06,19766,"Downey city, California",112334.0,34.0,60939.0,23055.0,13178.0,11.731087649331458,5.2370609076504
49,65.0,30.0,90.0,47.0,113.0,California,El Cajon,621712.0,06,21712,"El Cajon city, California",100590.0,32.4,44112.0,19803.0,26152.0,25.998608211551844,6.641813301521026
50,62.0,22.0,87.0,43.0,109.0,California,Elk Grove,622020.0,06,22020,"Elk Grove city, California",155350.0,33.8,77791.0,28898.0,14711.0,9.469584808496942,5.3685226906984225
51,65.0,36.0,86.0,52.0,112.0,California,El Monte,622230.0,06,22230,"El Monte city, California",114412.0,33.5,39535.0,14735.0,27574.0,24.10061881620809,6.5517603048631265
52,63.0,32.0,80.0,52.0,103.0,California,Escondido,622804.0,06,22804,"Escondido city, California",145859.0,32.7,49362.0,21653.0,26931.0,18.463721813532246,4.762818886733077
53,60.0,18.0,86.0,41.0,109.0,California,Fairfield,623182.0,06,23182,"Fairfield city, California",106533.0,33.0,64702.0,26611.0,14048.0,13.186524363342814,5.2631578947368425
54,62.0,19.0,86.0,40.0,109.0,California,Folsom,624638.0,06,24638,"Folsom city, California",72424.0,37.7,98359.0,37821.0,2973.0,4.104992820059649,4.462609079863029
55,66.0,28.0,91.0,48.0,112.0,California,Fontana,624680.0,06,24680,"Fontana city, California",198692.0,29.1,64354.0,19299.0,30547.0,15.374046262557124,7.598192176836511
56,60.0,1.0,81.0,46.0,105.0,California,Fremont,626000.0,06,26000,"Fremont city, California",218172.0,37.3,101535.0,40190.0,13088.0,5.998936618814513,4.275067378032012
